Scenario,Replication,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Value
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeOffShiftProcessing,Average,NaN
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeOffShiftProcessing,Average,NaN
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeOffShiftProcessing,Average,NaN
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeOffShiftProcessing,Occurrences,0
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeOffShiftProcessing,Occurrences,0
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeOffShiftProcessing,Occurrences,0
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeOffShiftProcessing,Occurrences,0
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeOffShiftProcessing,Occurrences,0
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeOffShiftProcessing,Percent,0
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeOffShiftProcessing,Percent,0
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeOffShiftProcessing,Percent,0
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeOffShiftProcessing,Percent,0
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeOffShiftProcessing,Percent,0
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeOffShiftProcessing,Total,0
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeOffShiftProcessing,Total,0
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeOffShiftProcessing,Total,0
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeOffShiftProcessing,Total,0
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeOffShiftProcessing,Total,0
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeOffShiftSetup,Average,NaN
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeOffShiftSetup,Average,NaN
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeOffShiftSetup,Average,NaN
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeOffShiftSetup,Average,NaN
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeOffShiftSetup,Average,NaN
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeOffShiftSetup,Occurrences,0
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeOffShiftSetup,Occurrences,0
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeOffShiftSetup,Occurrences,0
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeOffShiftSetup,Occurrences,0
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeOffShiftSetup,Occurrences,0
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeOffShiftSetup,Percent,0
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeOffShiftSetup,Percent,0
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeOffShiftSetup,Percent,0
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeOffShiftSetup,Percent,0
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeOffShiftSetup,Percent,0
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeOffShiftSetup,Total,0
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeOffShiftSetup,Total,0
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeOffShiftSetup,Total,0
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeOffShiftSetup,Total,0
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeOffShiftSetup,Total,0
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeProcessing,Average,0.0932958871257539
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeProcessing,Average,0.05782751064387
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeProcessing,Average,0.0867011641339373
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeProcessing,Average,0.0800921454409975
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeProcessing,Average,0.079310484561332
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeProcessing,Occurrences,89
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeProcessing,Occurrences,132
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeProcessing,Occurrences,91
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeProcessing,Occurrences,96
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeProcessing,Occurrences,99
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeProcessing,Percent,83.033339541921
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeProcessing,Percent,76.3323140499084
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeProcessing,Percent,78.898059361883
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeProcessing,Percent,76.8884596233576
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeProcessing,Percent,78.5173797157187
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeProcessing,Total,8.30333395419209
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeProcessing,Total,7.63323140499084
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeProcessing,Total,7.8898059361883
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeProcessing,Total,7.68884596233576
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeProcessing,Total,7.85173797157187
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeSetup,Average,NaN
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeSetup,Average,NaN
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeSetup,Average,NaN
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeSetup,Average,NaN
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeSetup,Average,NaN
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeSetup,Occurrences,0
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeSetup,Occurrences,0
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeSetup,Occurrences,0
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeSetup,Occurrences,0
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeSetup,Occurrences,0
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeSetup,Percent,0
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeSetup,Percent,0
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeSetup,Percent,0
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeSetup,Percent,0
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeSetup,Percent,0
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeSetup,Total,0
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeSetup,Total,0
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeSetup,Total,0
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeSetup,Total,0
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeSetup,Total,0
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeStarved,Average,0.0190636634360439
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeStarved,Average,0.0180669358397646
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeStarved,Average,0.0234466007090189
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeStarved,Average,0.0243279372385709
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeStarved,Average,0.0219210411064095
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeStarved,Occurrences,89
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeStarved,Occurrences,131
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeStarved,Occurrences,90
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeStarved,Occurrences,95
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeStarved,Occurrences,98
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeStarved,Percent,16.9666604580791
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeStarved,Percent,23.6676859500916
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeStarved,Percent,21.101940638117
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeStarved,Percent,23.1115403766424
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeStarved,Percent,21.4826202842813
Scenario1,1,Server,Server1,[Resource],ResourceState,TimeStarved,Total,1.69666604580791
Scenario1,2,Server,Server1,[Resource],ResourceState,TimeStarved,Total,2.36676859500916
Scenario1,3,Server,Server1,[Resource],ResourceState,TimeStarved,Total,2.1101940638117
Scenario1,4,Server,Server1,[Resource],ResourceState,TimeStarved,Total,2.31115403766424
Scenario1,5,Server,Server1,[Resource],ResourceState,TimeStarved,Total,2.14826202842813
Scenario1,1,Server,Server1,InputBuffer,Content,NumberInStation,Average,2.04865516926594
Scenario1,2,Server,Server1,InputBuffer,Content,NumberInStation,Average,1.5324576172311
Scenario1,3,Server,Server1,InputBuffer,Content,NumberInStation,Average,2.68823784201418
Scenario1,4,Server,Server1,InputBuffer,Content,NumberInStation,Average,2.13082048931687
Scenario1,5,Server,Server1,InputBuffer,Content,NumberInStation,Average,5.95895408372721
Scenario1,1,Server,Server1,InputBuffer,Content,NumberInStation,Maximum,10
Scenario1,2,Server,Server1,InputBuffer,Content,NumberInStation,Maximum,11
Scenario1,3,Server,Server1,InputBuffer,Content,NumberInStation,Maximum,14
Scenario1,4,Server,Server1,InputBuffer,Content,NumberInStation,Maximum,12
Scenario1,5,Server,Server1,InputBuffer,Content,NumberInStation,Maximum,27
Scenario1,1,Server,Server1,InputBuffer,Content,NumberInStation,Minimum,0
Scenario1,2,Server,Server1,InputBuffer,Content,NumberInStation,Minimum,0
Scenario1,3,Server,Server1,InputBuffer,Content,NumberInStation,Minimum,0
